name,conference,units
Air Force,Mountain West,4
Akron,MAC,4
Alabama,SEC,11
Appalachian St.,Sun Belt,9
Arizona,Pac-12,4
Arizona St.,Pac-12,6
Arkansas,SEC,7
Arkansas State,Sun Belt,7
Army West Point,Independent,8
Auburn,SEC,8
Ball State,MAC,3
Baylor,Big 12,7
Boise State,Mountain West,9
Boston College,ACC,4
Bowling Green,MAC,3
Buffalo,MAC,2
BYU,Independent,9
California,Pac-12,3
Cent. Michigan,MAC,6
Charlotte,C-USA,3
Cincinnati,American,6
Clemson,ACC,10
Coastal Caro.,Sun Belt,4
Colorado,Pac-12,7
Colorado State,Mountain West,7
Duke,ACC,4
East Carolina,American,2
Eastern Mich.,MAC,5
FIU,C-USA,3
Florida,SEC,8
Florida Atlantic,C-USA,3
Florida State,ACC,10
Fresno State,Mountain West,3
Ga. Southern,Sun Belt,4
Georgia,SEC,9
Georgia State,Sun Belt,4
Georgia Tech,ACC,6
Hawaii,Mountain West,3
Houston,American,9
Idaho,Sun Belt,4
Illinois,Big Ten,3
Indiana,Big Ten,7
Iowa,Big Ten,8
Iowa State,Big 12,4
Kansas,Big 12,2
Kansas St.,Big 12,8
Kent State,MAC,3
Kentucky,SEC,7
La.-Monroe,Sun Belt,3
Louisiana,Sun Belt,4
Louisiana Tech,C-USA,9
Louisville,ACC,9
LSU,SEC,9
Marshall,C-USA,5
Maryland,Big Ten,2
Massachusetts,Independent,2
Memphis,American,8
Miami (Fla.),ACC,9
Miami (Ohio),MAC,8
Mich. St.,Big Ten,7
Michigan,Big Ten,10
Middle Tenn.,C-USA,8
Minnesota,Big Ten,8
Mississippi,SEC,5
Mississippi St.,SEC,6
Missouri,SEC,6
Navy,American,8
NC State,ACC,7
Nebraska,Big Ten,8
Nevada,Mountain West,3
New Mexico,Mountain West,6
New Mexico St.,Sun Belt,4
North Carolina,ACC,7
North Texas,C-USA,4
Northern Ill.,MAC,6
Northwestern,Big Ten,9
Notre Dame,Independent,9
Ohio,MAC,8
Ohio St.,Big Ten,12
Oklahoma,Big 12,11
Oklahoma State,Big 12,10
Old Dominion,C-USA,7
Oregon,Pac-12,8
Oregon St.,Pac-12,4
Penn St.,Big Ten,11
Pittsburgh,ACC,7
Purdue,Big Ten,3
Rice,C-USA,4
Rutgers,Big Ten,2
San Diego State,Mountain West,9
San Jose State,Mountain West,2
SMU,American,4
South Alabama,Sun Belt,3
South Carolina,SEC,4
South Florida,American,10
Southern Miss,C-USA,7
Stanford,Pac-12,10
Syracuse,ACC,3
TCU,Big 12,8
Temple,American,7
Tennessee,SEC,7
Texas,Big 12,9
Texas A&M,SEC,7
Texas State,Sun Belt,2
Texas Tech,Big 12,4
Toledo,MAC,8
Troy,Sun Belt,9
Tulane,American,4
Tulsa,American,8
UAB,C-USA,2
UCF,American,7
UCLA,Pac-12,8
UConn,American,2
UNLV,Mountain West,4
USC,Pac-12,11
Utah,Pac-12,6
Utah State,Mountain West,3
UTEP,C-USA,2
UTSA,C-USA,7
Vanderbilt,SEC,6
Virginia,ACC,4
Virginia Tech,ACC,9
Wake Forest,ACC,4
Washington,Pac-12,10
Washington St.,Pac-12,8
West Virginia,Big 12,7
Western Ky.,C-USA,9
Western Mich.,MAC,9
Wisconsin,Big Ten,11
Wyoming,Mountain West,8
