name,conference,units,FBS games
Boston College,ACC,5,
Clemson,ACC,13,
Duke,ACC,6,
Florida State,ACC,7,
Georgia Tech,ACC,4,
Louisville,ACC,7,
Miami (Fla.),ACC,9,
NC State,ACC,7,
North Carolina,ACC,4,
Pittsburgh,ACC,4,
Syracuse,ACC,4,
Virginia,ACC,4,
Virginia Tech,ACC,8,
Wake Forest,ACC,6,
Cincinnati,American,4,
East Carolina,American,2,
Houston,American,8,
Memphis,American,8,
Navy,American,7,12
SMU,American,4,
South Florida,American,8,
Temple,American,6,
Tulane,American,4,
Tulsa,American,3,
UCF,American,10,
UConn,American,2,
Baylor,Big 12,5,
Iowa State,Big 12,6,
Kansas,Big 12,2,
Kansas St.,Big 12,6,
Oklahoma,Big 12,12,12
Oklahoma State,Big 12,8,
TCU,Big 12,7,
Texas,Big 12,9,12
Texas Tech,Big 12,6,
West Virginia,Big 12,7,
Illinois,Big Ten,2,
Indiana,Big Ten,5,12
Iowa,Big Ten,7,
Maryland,Big Ten,5,12
Mich. St.,Big Ten,10,12
Michigan,Big Ten,10,12
Minnesota,Big Ten,6,12
Nebraska,Big Ten,7,12
Northwestern,Big Ten,7,12
Ohio St.,Big Ten,12,12
Penn St.,Big Ten,10,12
Purdue,Big Ten,7,12
Rutgers,Big Ten,4,12
Wisconsin,Big Ten,11,12
Charlotte,C-USA,2,
FIU,C-USA,4,
Florida Atlantic,C-USA,9,
Louisiana Tech,C-USA,7,
Marshall,C-USA,8,
Middle Tenn.,C-USA,7,
North Texas,C-USA,8,
Old Dominion,C-USA,4,
Rice,C-USA,2,12
Southern Miss,C-USA,6,
UAB,C-USA,7,
UTEP,C-USA,1,
UTSA,C-USA,5,12
Western Ky.,C-USA,4,
Army West Point,Independent,6,10
BYU,Independent,4,
Liberty,Independent,2,10
Massachusetts,Independent,4,
New Mexico St.,Independent,5,
Notre Dame,Independent,10,12
Akron,MAC,3,
Ball State,MAC,3,
Bowling Green,MAC,3,
Buffalo,MAC,6,
Central Mich.,MAC,3,
Eastern Mich.,MAC,5,
Kent State,MAC,1,
Miami (Ohio),MAC,7,12
Northern Ill.,MAC,7,12
Ohio,MAC,9,
Toledo,MAC,8,
Western Mich.,MAC,5,
Air Force,Mountain West,3,
Boise State,Mountain West,12,12
Colorado State,Mountain West,4,
Fresno State,Mountain West,8,
Hawaii,Mountain West,2,12
Nevada,Mountain West,5,
New Mexico,Mountain West,3,
San Diego State,Mountain West,8,
San Jose State,Mountain West,2,
UNLV,Mountain West,6,
Utah State,Mountain West,7,
Wyoming,Mountain West,6,
Arizona,Pac-12,7,
Arizona St.,Pac-12,5,12
California,Pac-12,6,
Colorado,Pac-12,3,
Oregon,Pac-12,8,
Oregon St.,Pac-12,1,
Stanford,Pac-12,8,
UCLA,Pac-12,5,12
USC,Pac-12,9,12
Utah,Pac-12,7,
Washington,Pac-12,11,
Washington St.,Pac-12,6,
Alabama,SEC,13,
Arkansas,SEC,5,
Auburn,SEC,9,
Florida,SEC,7,10
Georgia,SEC,10,
Kentucky,SEC,4,
LSU,SEC,7,
Mississippi,SEC,5,
Mississippi St.,SEC,8,
Missouri,SEC,7,
South Carolina,SEC,7,
Tennessee,SEC,4,
Texas A&M,SEC,7,
Vanderbilt,SEC,3,
Appalachian St.,Sun Belt,8,
Arkansas State,Sun Belt,10,
Coastal Caro.,Sun Belt,3,
Ga. Southern,Sun Belt,5,
Georgia State,Sun Belt,4,
La.-Monroe,Sun Belt,5,
Louisiana,Sun Belt,3,
South Alabama,Sun Belt,3,
Texas State,Sun Belt,2,
Troy,Sun Belt,8,
